eight ball	1/8 ounce of cocaine
eight boxes of food 	 (n) ammunition ordered in boxes (one box = 50 rounds)
copper tip 	 (n) ammunition
pebbles 	 (n) ammunition
rice 	 (n) ammunition
those things 	 (n) ammunition
bizzaze	 (n) an individual’s house / home / residence
gates	 (n) an individual’s house / home / residence
crib 	 (n) an individual’s house / home / residence
yardie	 (n) an individual’s residence / Jamaica
yard	 (n) an individual’s residence / Jamaica
not clean 	 (n) an unclean police record
everything can happen 	 (n) anything can happen
my mom’s end 	 (n) area where the mother resides
rub him 	 (n) assault
heat 	 (n) attention / or causing attention to the police
spitta 	 (n) auto / semi-auto action firearm 
spitter 	 (n) auto / semi-auto action firearm 
matic 	 (n) automatic or semi-automatic firearm
building 	 (n) bill (hundred)
hallow point	 (n) black Talon hollow point ammunition
hawks 	 (n) black Talon hollow point ammunition
hollow	 (n) black Talon hollow point ammunition
ray ray ray 	 (n) used in place of “and so on”'
blizzock 	 (n) block
B/K 	 (n) Blood Killer
boxes 	 (n) box of ammunition
beretta 	 (n) brand name beretta firearm
hector 	 (n) brand name heckler & koch firearm
heather 	 (n) brand name heckler & koch firearm
luger 	 (n) brand name luger firearm
remington 	 (n) brand name remington firearm
smith & wesson 	 (n) brand name smith & wesson firearm
ultra 	 (n) brand name ultra firearm
walter 	 (n) brand name walther firearm
browning	 (n) browning firearm
brown skin	 (n) browning firearm
brown girl 	 (n) browning firearm
browns	 (n) browning firearm
t-shirt 	 (n) bullet proof vest
t-shirt 	 (n) bullet proof vest
food for ting 	 (n) bullets / ammunition
food	 (n) bullets / ammunition
grains 	 (n) bullets / ammunition
shoelace 	 (n) bullets / ammunition
teeth 	 (n) bullets / ammunition
laces 	 (n) bullets
butt 	 (n) butt of a firearm
chron 	 (n) chronic drugs
clizzip 	 (n) clip or magazine for a firearm
clizzy	 (n) clip or magazine for a firearm
klizzy 	 (n) clip
family 	 (n) close relationship between members
fams	 (n) close relationship between members
ice cream 	 (n) cocaine
beat in 	 (n) initiation ritual where a recruit must fight a number of gang members
roll proper 	 (n) conducting business
links 	 (n) contacts or suppliers of goods
copper heads 	 (n) copper tipped bullets
fiend 	 (n) crack cocaine user
hard 	 (n) crack cocaine
beef 	 (n) crime; infraction; argument 
grades 	 (n) describing high grade marijuana
eagles 	 (n) desert eagle (all calibres)
bird 	 (n) desert eagle firearm
d’ees 	 (n) detectives
deeks 	 (n) dimes = $10
d low 	 (n) down low information keep quiet or close to particular group / people
d.t. 	 (n) downtown
custie 	 (n) drug customer
E 	 (n) ecstacy
one 	 (n) everything is ok (v) bye
fake chops 	 (n) fake drug / gun sales for purpose of robbing the purchaser
bummy 	 (n) feeling upset / angry i.e. bummed out
suzy wong 	 (n) firearm (possibly Smith &Wesson)
ruger 	 (n) firearm specifically of the make
burner 	 (n) firearm
cassette 	 (n) firearm
cd 	 (n) firearm
drill 	 (n) firearm
fizzie 	 (n) firearm
football 	 (n) firearm
heat 	 (n) firearm
heater	 (n) firearm
kizzy 	 (n) firearm
mach 	 (n) firearm
mach 	 (n) firearm
machine	 (n) firearm
resolve 	 (n) firearm
snuggy 	 (n) firearm
ting 	 (n) firearm
brand new thing 	 (n) firearm
thing	 (n) firearm
tool 	 (n) firearm
video game 	 (n) firearm
video	 (n) firearm
whore 	 (n) firearm
wifey 	 (n) firearm
wife	 (n) firearm
shoes 	 (n) firearms
baller 	 (n) gang member making money 
plastic 	 (n) glock pistol
g-lock 	 (n) glock
lock 	 (n) glock
plastic hammers 	 (n) glock
brand new sweater 	 (n) good quality bullet proof vest
high grade 	 (n) good quality marijuana
juby 	 (n) gun or girl
hand burner	 (n) hand gun
hand thing 	 (n) hand gun
hand	 (n) hand gun
moss 	 (n) hide (normally used in the context of incriminating evidence)
streetsweeper 	 (n) high capacity / Rapid fire
holls for nizzy 	 (n) hollow point .9 mm ammunition
homi 	 (n) homicide
on house 	 (n) house arrest
drizzo 	 (n) hydroponic drugs
‘dro 	 (n) hydroponic marijuana
dirty 	 (n) illegal items usually firearms
food 	 (n) in robberies, can include anything of value
brick 	 (n) kilogram of cocaine
key	 (n) kilogram of cocaine
ki 	 (n) kilogram of cocaine
big things 	 (n) large calibre i.e. 45 cal or 357 cal
rolling deep 	 (n) large number of gang members moving in a group
weight 	 (n) large quantity / pounds (weed)
silver heads 	 (n) lead tipped bullets
general 	 (n) leader of a group within the structure of a criminal street gang
sixteen 	 (n) m16
mac 	 (n) MAC 10
ten 	 (n) mac-10 firearm
mash	 (n) machine gun or generally a firearm
mosh	 (n) machine gun or generally a firearm
mach	 (n) machine gun or generally a firearm
sleeve 	 (n) magazine clip
dummy 	 (n) malfunctioning / broken firearm
cess 	 (n) marijuana
greens 	 (n) marijuana
grains	 (n) marijuana
trees 	 (n) marijuana
men 	 (n) members / associates of a criminal street gang
crew 	 (n) members of a criminal street gang
soldiers 	 (n) members of a criminal street gang
bigger mans 	 (n) members of criminal street gangs that have seniority
big	 (n) members of criminal street gangs that have seniority
chronic 	 (n) mixture of cocaine and hydroponic marijuana
cheese 	 (n) money
ducats 	 (n) money
scrilla 	 (n) money
squillers	 (n) money
nizza 	 (n) n*gga
yard-cess 	 (n) natural grown higher quality
two size down 	 (n) two calibres down in size from the largest calibre piece
one size down 	 (n) one calibres down in size from the largest calibre piece
have a full 	 (n) only having one full revolution of shots
onion 	 (n) ounce
oz 	 (n) ounce
bird 	 (n) package cocaine (usually one bird = 1 kilogram of cocaine)
phizzone 	 (n) phone
po po	 (n) police
feds 	 (n) police
heat 	 (n) police
boy 	 (n) police
boy them 	 (n) police (derogatory term)
boy dem	 (n) police (derogatory term)
tracey 	 (n) police 
five-to-five boys / streetcar 	 (n) police
dicks 	 (n) police 
beast 	 (n) police
feds 	 (n) police
jakes 	 (n) police
P 	 (n) pound
snow 	 (n) powder cocaine
soft 	 (n) powder cocaine
nine pack 	 (n) quarter kilogram of cocaine
QP 	 (n) quarter pound / cube
cuban 	 (n) quarter pound of drugs
ends 	 (n) refers to being on gang turf 
spinner 	 (n) revolver
suck 	 (n) robbery
suck it	 (n) robbery
big mens	 (n) senior or ranking members of a criminal street gangs
snubby 	 (n) short barrelled firearm
gauge 	 (n) shotgun
pumps 	 (n) shotgun
shottie 	 (n) shotgun
twin 	 (n) shotgun
six-spinner 	 (n) six chambered revolver
little ones 	 (n) small calibre i.e. 22 cal
chicken	 (n) small quantities
sniper thing 	 (n) sniper rifle
snub 	 (n) snub nose revolver
girlfriend 	 (n) specific firearms
bitch 	 (n) specific firearms
girl	 (n) specific firearms
block 	 (n) specific location used by a criminal street gang for meetings
base 	 (n) specific location used by a criminal street gang for meetings
drama 	 (n) story
tek 	 (n) tech 9
tech	 (n) tech 9
liline 	 (n) telephone
line	 (n) telephone
turf 	 (n) territory claimed by a criminal street gang
G code 	 (n) the gangster code of silence
babylon 	 (n) the power structure; the police
food 	 (n) typically used to describe crack cocaine/ drugs / marijuana
uncut 	 (n) uncut cocaine
uc’s 	 (n) undercover police
undees	 (n) undercover police
buildings 	 (n) units of money in $100’s
bills	 (n) units of money in $100’s
elbow 	 (n) weights
lb 	 (n) weights
B.G. 	 (n) young gangster (stands for baby gangstger)
little men 	 (n) younger members of a criminal street gang
fling down 	 (v) to cause injury 
shank 	 (v) to stab with a knife or sharp object
holding down 	 (v) ability to manage or control Criminal activity
beating it up 	 (v) act of discharging a firearm / shooting
beat it	 (v) act of discharging a firearm / shooting
push it 	 (v) act of selling material goods
beat grains 	 (v) act of shooting
six 	 (v) acting as a lookout
standing six	 (v) acting as a lookout
flipping 	 (v) action of robbing and selling / reselling
better stand 	 (v) advising crew they must stand up and rise to whatever
line up 	 (v) arrange', ' set up', ' facilitate
rock a jaw 	 (v) assault at varying levels
suck him 	 (v) being apprehended or confronted by force
recent come out 	 (v) being released from jail
roll with me 	 (v) belonging to my gang (crew)
rolling heavy 	 (v) carrying a firearm while on the move
got me dirty 	 (v) caught with illegal items / substance
get 	 (v) caught with illegal items / substance
kicking it up 	 (v) causing a commotion / disturbance
full touchdown 	 (v) complete the shooting task or murder
link 	 (v) contact via telephone
deal with his case 	 (v) delivering a penalty for an infraction
kick away the football 	 (v) disposing of a firearm
baiting things up 	 (v) drawing attention to
bait 	 (v) drawing attention to
beakage 	 (v) express a story / information by word of mouth (beak refers to mouth)
let off 	 (v) fire shots
pop off 	 (v) fire shots
bussing (shots) 	 (v) firing shots
banging 	 (v) gang activities; fighting or violence
hitched 	 (v) getting arrested
booked	 (v) getting arrested
bite	 (v) getting arrested
come on road 	 (v) go outside in the street
knocked 	 (v) got arrested
grizzind 	 (v) grind
sitting on their shoes 	 (v) not using their firearms
beat one 	 (v) one shot from a firearm
hood is talking 	 (v) people in the neighbourhood
kick off the house 	 (v) police executing a forced entry 
grilling 	 (v) posturing aggressively
chef up 	 (v) process to form crack cocaine
cook	 (v) process to form crack cocaine
dropping dimes 	 (v) providing information to the police
gully 	 (v) loyalty to the gang
keep’n it grimy 	 (v) loyalty to the gang
reppin	 (v) loyalty to the gang
jack 	 (v) rob / steal
eat him food 	 (v) rob for his drugs
eat a food 	 (v) robbery of drugs or a person
eat em 	 (v) robbery of drugs or a person
chop 	 (v) sale of material goods', ' or drugs
zeen 	 (v) seen ? i.e. do you understand ?
chippin	 (v) selling crack cocaine
chippin off 	 (v) selling crack cocaine
chops 	 (v) selling crack cocaine
choppin 	 (v) selling crack cocaine
touchdown 	 (v) shoot down or murder
clapping 	 (v) shooting a firearm
lick one 	 (v) shooting a round of ammunition
lick him out 	 (v) shooting someone dead
head busters 	 (v) shooting someone in the head
beat 	 (v) shooting
beat off	 (v) shooting
sweep that two shoes 	 (v) take / steal two firearms
sucked off 	 (v) taken off the streets
spitting out his grill 	 (v) talking / providing information
show 	 (v) tell', ' inform or advise
squeeze 	 (v) the act of discharging a firearm by squeezing the trigger
drapes 	 (v) the action of confronting another with aggression 
cocked the machine 	 (v) the action of exposing a firearm to be fired
lick 	 (v) the action of hitting or striking', ' also shot
box 	 (v) the action of striking or assaulting
have it up 	 (v) to be armed and ready to shoot
squashed 	 (v) to be finished', ' over
beaten out 	 (v) to be released from a group
holler 	 (v) to call', ' greeting
win the game 	 (v) to complete the task
picked up 	 (v) to die
bang 	 (v) to fight
touch road 	 (v) to get out of jail
suck off 	 (v) to get taken
touch inside 	 (v) to go to jail
dipset 	 (v) to leave or get out
dip 	 (v) to leave or get out
bedtime story 	 (v) to murder
bedtime	 (v) to murder
jook 	 (v) to rob
bust up 	 (v) to shoot (bust off) 
bust	 (v) to shoot (bust off) 
wet up 	 (v) to shoot / the act of discharging a firearm
wet 	 (v) to shoot / the act of discharging a firearm
touched 	 (v) to shoot / to be shot / to be wounded
touched up 	 (v) to shoot / to be shot / to be wounded
carrying weight 	 (v) trafficking a large amount of drugs
carrying weight 	 (v) trafficking a large volume of drugs
you done know 	 (v) you already know
copping it	 (v) purchase or buy something
cop it 	 (v) purchase or buy something
cop	 (v) purchase or buy something
puttin in work 	(v) doing crime
strapped 	(v) being armed  
calling out	(v) providing crime information to police
 fink	(v) providing crime information to police
singing	(v) providing crime information to police
chirping	(v) providing crime information to police
beaksing	(v) providing crime information to police
snitching	(v) providing crime information to police
holding 	(v) being armed  
walking hard 	(v) protecting the area
seven shooter 	(n) seven chambered .357 cal revolver
five seven	(n) seven chambered .357 cal revolver
walking heavy 	(v) being armed  
makin a move 	(v) trying to buy drugs or weapons
mission 	(n) criminal activity
murked 	(v) to kill / murder(ed)
murk	(v) to kill / murder(ed)
gat 	 (n) firearm
hammer 	 (n) firearm
strap 	 (n) firearm
strizzie 	 (n) firearm
